w1_num,w1_cpu,w1_mem,w2_num,w2_cpu,w2_mem,w3_num,w3_cpu,w3_mem,w4_num,w4_cpu,w4_mem,time,nr_query_cols,nr_query_conds,nr_data_cols,nr_data_rows,nr_users
0,5,4,1,4,3,1,1,2,0,1,2,45.32813663,2,1,2500,1000002,1
1,5,4,1,4,3,1,1,2,0,1,2,52.7402179,2,1,2500,1000002,1
2,5,4,1,4,3,1,1,2,0,1,2,41.562138025,2,1,2500,1000002,1
3,5,4,1,4,3,1,1,2,0,1,2,69.521036467,2,1,2500,1000002,1
0,6,4,1,4,3,1,1,2,0,1,2,46.885694396,2,1,2500,1000002,1
1,6,4,1,4,3,1,1,2,0,1,2,34.31659618,2,1,2500,1000002,1
2,6,4,1,4,3,1,1,2,0,1,2,35.708653663,2,1,2500,1000002,1
3,6,4,1,4,3,1,1,2,0,1,2,32.477467451,2,1,2500,1000002,1
0,5,4,2,4,3,1,1,2,0,1,2,67.172563023,2,1,2500,1000002,1
1,5,4,2,4,3,1,1,2,0,1,2,70.385278617,2,1,2500,1000002,1
2,5,4,2,4,3,1,1,2,0,1,2,45.217812772,2,1,2500,1000002,1
3,5,4,2,4,3,1,1,2,0,1,2,39.296601132,2,1,2500,1000002,1
0,6,4,2,4,3,1,1,2,0,1,2,49.865641798,2,1,2500,1000002,1
1,6,4,2,4,3,1,1,2,0,1,2,55.780401389,2,1,2500,1000002,1
2,6,4,2,4,3,1,1,2,0,1,2,38.602177442,2,1,2500,1000002,1
3,6,4,2,4,3,1,1,2,0,1,2,38.485822611,2,1,2500,1000002,1
0,5,4,3,4,3,1,1,2,0,1,2,30.86904132,2,1,2500,1000002,1
1,5,4,3,4,3,1,1,2,0,1,2,45.757149737,2,1,2500,1000002,1
2,5,4,3,4,3,1,1,2,0,1,2,43.653126599,2,1,2500,1000002,1
3,5,4,3,4,3,1,1,2,0,1,2,47.250038524,2,1,2500,1000002,1
0,6,4,3,4,3,1,1,2,0,1,2,36.646617475,2,1,2500,1000002,1
1,6,4,3,4,3,1,1,2,0,1,2,55.541512825,2,1,2500,1000002,1
2,6,4,3,4,3,1,1,2,0,1,2,41.137916244,2,1,2500,1000002,1
3,6,4,3,4,3,1,1,2,0,1,2,50.642577072,2,1,2500,1000002,1
0,5,4,0,3,3,2,1,2,0,1,2,66.026710156,2,1,2500,1000002,1
1,5,4,0,3,3,2,1,2,0,1,2,29.26289417,2,1,2500,1000002,1
2,5,4,0,3,3,2,1,2,0,1,2,31.291364607,2,1,2500,1000002,1
3,5,4,0,3,3,2,1,2,0,1,2,38.076296929,2,1,2500,1000002,1
0,6,4,0,3,3,2,1,2,0,1,2,50.640919741,2,1,2500,1000002,1
1,6,4,0,3,3,2,1,2,0,1,2,68.733079704,2,1,2500,1000002,1
2,6,4,0,3,3,2,1,2,0,1,2,69.226224761,2,1,2500,1000002,1
3,6,4,0,3,3,2,1,2,0,1,2,34.420970956,2,1,2500,1000002,1
0,5,4,1,3,3,2,1,2,0,1,2,54.463746608,2,1,2500,1000002,1
1,5,4,1,3,3,2,1,2,0,1,2,66.778171389,2,1,2500,1000002,1
2,5,4,1,3,3,2,1,2,0,1,2,41.251517298,2,1,2500,1000002,1
3,5,4,1,3,3,2,1,2,0,1,2,58.031518269,2,1,2500,1000002,1
0,6,4,1,3,3,2,1,2,0,1,2,57.417727628,2,1,2500,1000002,1
1,6,4,1,3,3,2,1,2,0,1,2,40.596490087,2,1,2500,1000002,1
2,6,4,1,3,3,2,1,2,0,1,2,30.223244829,2,1,2500,1000002,1
3,6,4,1,3,3,2,1,2,0,1,2,44.290720441,2,1,2500,1000002,1
0,5,4,2,3,3,2,1,2,0,1,2,40.907671647,2,1,2500,1000002,1
1,5,4,2,3,3,2,1,2,0,1,2,61.92611307,2,1,2500,1000002,1
2,5,4,2,3,3,2,1,2,0,1,2,32.718353679,2,1,2500,1000002,1
3,5,4,2,3,3,2,1,2,0,1,2,53.961451997,2,1,2500,1000002,1
0,6,4,2,3,3,2,1,2,0,1,2,31.278052033,2,1,2500,1000002,1
1,6,4,2,3,3,2,1,2,0,1,2,32.383761668,2,1,2500,1000002,1
2,6,4,2,3,3,2,1,2,0,1,2,58.711673263,2,1,2500,1000002,1
3,6,4,2,3,3,2,1,2,0,1,2,39.514439279,2,1,2500,1000002,1
0,5,4,3,3,3,2,1,2,0,1,2,47.749657741,2,1,2500,1000002,1
1,5,4,3,3,3,2,1,2,0,1,2,38.759469649,2,1,2500,1000002,1
2,5,4,3,3,3,2,1,2,0,1,2,48.468380192,2,1,2500,1000002,1
3,5,4,3,3,3,2,1,2,0,1,2,36.391177033,2,1,2500,1000002,1
0,6,4,3,3,3,2,1,2,0,1,2,29.938285459,2,1,2500,1000002,1
1,6,4,3,3,3,2,1,2,0,1,2,28.732720844,2,1,2500,1000002,1
2,6,4,3,3,3,2,1,2,0,1,2,39.327607263,2,1,2500,1000002,1
3,6,4,3,3,3,2,1,2,0,1,2,29.706856625,2,1,2500,1000002,1
0,5,4,0,4,3,2,1,2,0,1,2,72.013185803,2,1,2500,1000002,1
1,5,4,0,4,3,2,1,2,0,1,2,75.233264254,2,1,2500,1000002,1
2,5,4,0,4,3,2,1,2,0,1,2,49.496436041,2,1,2500,1000002,1
3,5,4,0,4,3,2,1,2,0,1,2,40.450260736,2,1,2500,1000002,1
0,6,4,0,4,3,2,1,2,0,1,2,87.010517696,2,1,2500,1000002,1
1,6,4,0,4,3,2,1,2,0,1,2,53.246594729,2,1,2500,1000002,1
2,6,4,0,4,3,2,1,2,0,1,2,39.924105823,2,1,2500,1000002,1
3,6,4,0,4,3,2,1,2,0,1,2,48.982403584,2,1,2500,1000002,1
0,5,4,1,4,3,2,1,2,0,1,2,53.212975522,2,1,2500,1000002,1
1,5,4,1,4,3,2,1,2,0,1,2,67.679751824,2,1,2500,1000002,1
2,5,4,1,4,3,2,1,2,0,1,2,43.788000646,2,1,2500,1000002,1
3,5,4,1,4,3,2,1,2,0,1,2,44.062576777,2,1,2500,1000002,1
