config #	worker1.replicaCount	worker1.resources.requests.cpu	worker1.resources.requests.memory	worker2.replicaCount	worker2.resources.requests.cpu	worker2.resources.requests.memory	worker3.replicaCount	worker3.resources.requests.cpu	worker3.resources.requests.memory	worker4.replicaCount	worker4.resources.requests.cpu	worker4.resources.requests.memory	SLAName	CompletionTime	Successfull	
319	3	6	4	3	4	3	0	2	2	0	1	2	silver	40.267241483	true	
320	0	5	4	0	3	3	1	2	2	0	1	2	silver	85.384810791	true	
321	1	5	4	0	3	3	1	2	2	0	1	2	silver	60.637266176	true	
322	2	5	4	0	3	3	1	2	2	0	1	2	silver	77.08443148	true	
323	3	5	4	0	3	3	1	2	2	0	1	2	silver	82.04100756	true	
324	0	6	4	0	3	3	1	2	2	0	1	2	silver	64.605030711	true	
325	1	6	4	0	3	3	1	2	2	0	1	2	silver	65.226648091	true	
326	2	6	4	0	3	3	1	2	2	0	1	2	silver	59.41590844	true	
327	3	6	4	0	3	3	1	2	2	0	1	2	silver	76.16200541	true	
328	0	5	4	1	3	3	1	2	2	0	1	2	silver	77.675346836	true	
329	1	5	4	1	3	3	1	2	2	0	1	2	silver	54.096750001	true	
330	2	5	4	1	3	3	1	2	2	0	1	2	silver	63.459912042	true	
331	3	5	4	1	3	3	1	2	2	0	1	2	silver	54.607518366	true	
332	0	6	4	1	3	3	1	2	2	0	1	2	silver	91.055496362	true	
333	1	6	4	1	3	3	1	2	2	0	1	2	silver	55.192539019	true	
334	2	6	4	1	3	3	1	2	2	0	1	2	silver	52.043945908	true	
335	3	6	4	1	3	3	1	2	2	0	1	2	silver	58.449987957	true	
336	0	5	4	2	3	3	1	2	2	0	1	2	silver	60.415309553	true	
337	1	5	4	2	3	3	1	2	2	0	1	2	silver	62.089172126	true	
338	2	5	4	2	3	3	1	2	2	0	1	2	silver	62.002922554	true	
339	3	5	4	2	3	3	1	2	2	0	1	2	silver	66.618511995	true	
340	0	6	4	2	3	3	1	2	2	0	1	2	silver	62.978185813	true	
341	1	6	4	2	3	3	1	2	2	0	1	2	silver	76.830637164	true	
342	2	6	4	2	3	3	1	2	2	0	1	2	silver	69.09165531	true	
343	3	6	4	2	3	3	1	2	2	0	1	2	silver	63.669316399	true	
